LabelName;LabelNumber;LED_394_SEN_AVG;LED_445_SEN_AVG;LED_490_SEN_AVG;LED_558_SEN_AVG;LED_592_SEN_AVG;LED_640_SEN_AVG;LED_700_SEN_AVG;LED_750_SEN_AVG;LED_800_SEN_AVG;LED_849_SEN_AVG;LED_890_SEN_AVG;LED_950_SEN_AVG
data#2025-2-20_11-57-59_dataFiles#S0022_20250220_002203_11_84f4cad9-c26b-4098-8eea-843c3f789772_R0003;66;-15.627499999999997726;0;0.085710271485388206392;-4.1484555984555981922;0.061870303367659328087;0.098712363869314534437;0.10699364214350590152;0.48161720169594185448;0.46354474119933769538;0.43472397870650858476;0.39995949230353766701;0.48752160760587720523
data#2025-2-20_11-57-59_dataFiles#S0023_20250220_002329_29_48735866-491e-4ce4-bb6d-9355e48683ab_R0001;67;-55.574999999999995737;0;0.16053735085595710608;6.7392535392535384275;0.28753826885610905828;0.16341356273451082548;0.62700575234635180788;0.595109024833434197;0.57356081875554920657;0.50306608629157967272;0.77631650013502562224;0.73179559204840094466
data#2025-2-20_11-57-59_dataFiles#S0023_20250220_002329_29_48735866-491e-4ce4-bb6d-9355e48683ab_R0002;68;-25.032499999999998863;0;0.1177438180874978424;-2.7680823680823678501;0.10880183690509322159;0.11926512308959458242;0.33795034816833180447;0.57808903694730462419;0.56904710484006426618;0.54573100791153206224;0.61571698622738324502;0.59508426966292138349
data#2025-2-20_11-57-59_dataFiles#S0023_20250220_002329_29_48735866-491e-4ce4-bb6d-9355e48683ab_R0003;69;-22.277499999999999858;0;0.12739495071762060863;-3.8550193050193048983;0.13722516003339826907;0.15741466093163722362;0.17141992128368149784;0.47562083585705633437;0.35257120917620521361;0.37493161965824534088;0.406629759654334344;0.48546888504753671345
data#2025-2-20_11-57-59_dataFiles#S0024_20250220_002438_52_7b5e8d37-89e3-4f3c-8bb4-636b13ae4f29_R0001;70;-10.924999999999998934;0;0.10004323015735777647;-4.797683397683397466;0.077337879209574175721;0.11180561910862998887;0.0086285195277020897836;0.25943367655966081964;0.17113358769467040821;0.18049469133260787057;0.1400756143667296616;0.23873163353500431727
data#2025-2-20_11-57-59_dataFiles#S0024_20250220_002438_52_7b5e8d37-89e3-4f3c-8bb4-636b13ae4f29_R0002;71;-13.632499999999998508;0;0.097661248486944490788;-4.9896396396396394124;0.070066796548844970105;0.10768463439187334063;-0.00057523463518013926831;0.25461841308297999964;0.17585247042449547727;0.18242257580659390626;0.13340534701593301237;0.24304235090751941106
data#2025-2-20_11-57-59_dataFiles#S0024_20250220_002438_52_7b5e8d37-89e3-4f3c-8bb4-636b13ae4f29_R0003;72;-24.557500000000000995;0;0.11844198512882586627;-1.8425353925353924467;0.20702755357639854306;0.21735151459687013231;0.29193157735392066821;0.17811932162325863627;0.15104984042425551038;0.15663362842269343278;0.37789630029705645331;0.40192307692307688294
data#2025-2-20_11-57-59_dataFiles#S0025_20250220_002556_34_be7fb708-012b-4422-9255-63cc7f0a07b8_R0001;73;-117.79999999999999716;0;0.16189261628912327007;19.132046332046328985;0.3594558864458669567;0.14759037247185868846;1.0250681198910081005;0.47060872198667469402;0.46117390156696180803;0.46277609482074050229;0.96616257088846868584;0.73323249783923938327
data#2025-2-20_11-57-59_dataFiles#S0025_20250220_002556_34_be7fb708-012b-4422-9255-63cc7f0a07b8_R0002;74;-29.639999999999997016;0;0.10168597613695312676;-4.286615186615185813;0.080907319788477594091;0.10879747414660931315;0.098940357250983962389;0.43026953361599029613;0.35033714875338944905;0.3442531102026410994;0.3445449635430731794;0.39350691443388075008
data#2025-2-20_11-57-59_dataFiles#S0025_20250220_002556_34_be7fb708-012b-4422-9255-63cc7f0a07b8_R0003;75;-48.497499999999995168;0;0.13581402386304683438;0.2628700128700128813;0.1397369885889228891;0.12552484670998445559;0.17803511958825310457;0.26202301635372499122;0.19620977611403064844;0.21670539101791122527;0.26681069403186602473;0.34218885047536734545
data#2025-2-20_11-57-59_dataFiles#S0026_20250220_002706_64_5e75f288-7423-4bdc-8f99-a614c30a4872_R0001;76;-3.0874999999999999112;0;0.080658827598132448733;-4.2694980694980690927;0.065307542443640412277;0.088331655532168013023;0.084559491371480458022;0.37233494851605086762;0.32138554939649166542;0.38281079968236225719;0.43048879287064539811;0.46309420916162485904
data#2025-2-20_11-57-59_dataFiles#S0026_20250220_002706_64_5e75f288-7423-4bdc-8f99-a614c30a4872_R0002;77;-9.9274999999999984368;0;0.084190731454262493494;-3.9381595881595883313;0.072446423601447262897;0.1078932918458863216;0.081395700877989710098;0.30372501514233796183;0.22853526264007870128;0.26205258668862679849;0.353524169592222548;0.39925453759723417146
data#2025-2-20_11-57-59_dataFiles#S0026_20250220_002706_64_5e75f288-7423-4bdc-8f99-a614c30a4872_R0003;78;-5.8899999999999996803;0;0.088749351547639632187;-4.0164092664092656548;0.074561647648204831818;0.084436716390592109205;0.065576748410535873335;0.31082677165354333226;0.27554171765891583012;0.33900032351989645152;0.41381312449365376116;0.43907735522904062231
data#2025-2-20_11-57-59_dataFiles#S0027_20250220_002829_46_95e566a7-dccd-419e-acd6-a896b7ce65a9_R0001;79;8.2649999999999987921;0;0.095525678713470507653;-5.1363577863577862814;0.070727804063456717332;0.11423995607211494263;-0.0086285195277020897836;0.21002422774076318079;0.14019868979915051099;0.13629305020440574125;0.052335943829327574717;0.17181287813310286428
data#2025-2-20_11-57-59_dataFiles#S0027_20250220_002829_46_95e566a7-dccd-419e-acd6-a896b7ce65a9_R0002;80;-25.792499999999996874;0;0.062547553173093545231;-5.1351351351351350871;0.023796270526022820363;0.081915438821268421465;-0.025310323947926125637;0.35781344639612350234;0.32291291723658005486;0.29018852386694510281;0.18881987577639749998;0.26849611063094208641
